optimizer,loss_before_step,param_grad_pairs,param_norm,grad_norm,update_norm,state_dict_sizes,optimizer_reads_X_y_directly
MySGD,0.3760162537342901,4,4.073706156397928,0.989027405529717,0.09890274055297169,no state dict,False
MyMomentum,0.3760162537342901,4,4.073706156397928,0.989027405529717,0.00989027405529719,v:4,False
MyRMSProp,0.3760162537342901,4,4.073706156397928,0.989027405529717,0.41832988527537235,s:4,False
MyAdam,0.3760162537342901,4,4.073706156397928,0.989027405529717,0.13228755275405552,v:4; m:4,False
