feature,train_mean,test_mean,all_fit_mean,mean_abs_test_coordinate_delta,max_abs_test_coordinate_delta
sepal length (cm),5.857142857142856,5.811111111111111,5.843333333333335,0.016392955483985804,0.027382124707643785
sepal width (cm),3.0695238095238095,3.028888888888889,3.057333333333334,0.029362344650888852,0.05026459650263404
petal length (cm),3.7895238095238093,3.684444444444444,3.7580000000000027,0.021297193432009025,0.044651966880837834
petal width (cm),1.197142857142857,1.2044444444444447,1.199333333333334,0.0038588330727982226,0.008689265787673595
