feature,train_fit_mean,all_fit_mean,all_minus_train_mean,train_fit_scale,all_fit_scale,all_minus_train_scale,mean_abs_test_scaled_delta,max_abs_test_scaled_delta
sepal length (cm),5.848888888888888,5.843333333333335,-0.0055555555555537595,0.8264037813784151,0.8253012917851409,-0.0011024895932741918,0.006630967532479465,0.008915589140241709
sepal width (cm),3.075555555555556,3.057333333333334,-0.018222222222221696,0.43494855662891924,0.43441096773549437,-0.0005375888934248674,0.04198806351694145,0.04400814999152369
petal length (cm),3.744444444444445,3.7580000000000027,0.013555555555557763,1.764596970737455,1.7594040657753032,-0.005192904962151745,0.007689761180903295,0.01179327417955589
petal width (cm),1.2155555555555553,1.199333333333334,-0.01622222222222125,0.7583477817101408,0.7596926279021594,0.0013448461920185784,0.021467789311424335,0.02395776443625075
